artist,youtube_subscribers,youtube_total_views,spotify_followers,spotify_popularity
AAA,,,756.0,16.0
AKB48,,,511629.0,59.0
BUMP OF CHICKEN,,,1454390.0,64.0
E-girls,,,485371.0,48.0
EXILE,,,1073739.0,62.0
MISIA,,,1326.0,31.0
NMB48,,,87616.0,42.0
Perfume,,,890528.0,59.0
SEKAI NO OWARI,,,2989922.0,67.0
SMAP,,,697.0,14.0
Sexy Zone,,,200.0,0.0
Superfly,,,1558887.0,63.0
TOKIO,,,1279948.0,67.0
V6,,,131946.0,44.0
X JAPAN,,,669984.0,53.0
miwa,,,895821.0,55.0
μ's,,,2605.0,11.0
いきものがかり,,,,
ゆず,,,1974458.0,59.0
ゲスの極み乙女。,,,440642.0,56.0
ゴールデンボンバー,,,395.0,1.0
レベッカ,,,802.0,42.0
三代目 J Soul Brothers,,,6989.0,18.0
三山ひろし,,,15015.0,33.0
乃木坂46,,,263.0,11.0
五木ひろし,,,60409.0,43.0
今井美樹,,,306501.0,50.0
伍代夏子,,,22776.0,29.0
和田アキ子,,,27833.0,38.0
坂本冬美,,,114245.0,45.0
大原櫻子,,,,
天童よしみ,,,25659.0,34.0
小林幸子,,,36774.0,39.0
山内惠介,,,,
島津亜矢,,,31820.0,38.0
嵐,,,14438900.0,84.0
德永英明,,,,
星野源,,,,
松田聖子,,,472927.0,59.0
森進一,,,,
椎名林檎,,,53.0,11.0
水森かおり,,,7382.0,32.0
氷川きよし,,,30838.0,44.0
石川さゆり,,,57135.0,44.0
福山雅治,,,1060441.0,57.0
細川たかし,,,25122.0,38.0
美輪明宏,,,4294.0,21.0
藤あや子,,,9283.0,29.0
西野カナ,,,1956178.0,66.0
近藤真彦,,,,
郷ひろみ,,,49481.0,48.0
関ジャニ∞,,,,
髙橋真梨子,,,,
AI,,,31319.0,54.0
BREAKERZ,,,13246.0,33.0
GENERATIONS from EXILE TRIBE,,,692476.0,53.0
HKT48,,,75888.0,37.0
Hey! Say! JUMP,,,211048.0,59.0
JUJU,,,1109181.0,56.0
KABA.ちゃん,,,1.0,0.0
KANA-BOON,,,1035519.0,63.0
KAT-TUN,,,144142.0,31.0
KinKi Kids,,,145586.0,62.0
NEWS,,,670.0,27.0
aiko,,,57.0,13.0
きゃりーぱみゅぱみゅ,,,473.0,6.0
クリス松村,,,,
ジャニーズWEST,,,,
ナオト・インティライミ,,,,
ポルノグラフィティ,,,7.0,4.0
三代目 J Soul Brothers from EXILE TRIBE,,,6989.0,18.0
山本彩,,,12.0,2.0
平井堅,,,1022686.0,56.0
槇原敬之,,,3103.0,23.0
氣志團,,,181.0,29.0
浜田ばみゅばみゅ,,,,
秦基博,,,249.0,2.0
西内まりや,,,,
BABYMETAL,,,2597237.0,71.0
BoA,,,169967.0,57.0
GENERATIONS,,,692476.0,53.0
Kis-My-Ft2,,,41569.0,53.0
L'Arc〜en〜Ciel,,,2.0,0.0
Mr.Children,,,3678498.0,68.0
YUKI,,,1326.0,31.0
back number,,,5678388.0,77.0
コブクロ,,,985.0,10.0
家入レオ,,,239.0,6.0
稲葉浩志,,,5.0,0.0
PUFFY,,,133928.0,48.0
RADIO FISH,,,9316.0,32.0
RADWIMPS,,,4615788.0,76.0
THE YELLOW MONKEY,,,355491.0,53.0
ピコ太郎,,,,
大竹しのぶ,,,,
宇多田ヒカル,,,3985409.0,70.0
市川由紀乃,,,14225.0,29.0
桐谷健太,,,2977.0,24.0
欅坂46,,,,
渡辺直美,,,8078.0,26.0
福田こうへい,,,,
絢香,,,1114085.0,56.0
香西かおり,,,33477.0,37.0
EXILE THE SECOND,,,151885.0,34.0
SKE48,,,85172.0,36.0
スティング,,,230.0,13.0
桑田佳祐,,,885614.0,59.0
［Alexandros］,,,1015132.0,62.0
DAIGO,,,38065.0,54.0
上白石萌音,,,,
大黒摩季,,,204.0,13.0
小室哲哉+HYDE,,,,
松下奈緒,,,5724.0,31.0
藤原さくら,,,127592.0,43.0
Little Glee Monster,,,812411.0,56.0
SHISHAMO,,,659780.0,62.0
TWICE,,,22345538.0,87.0
WANIMA,,,1429874.0,63.0
エレファントカシマシ,,,,
トータス松本,,,214.0,29.0
三浦大知,,,10.0,0.0
丘みどり,,,15189.0,32.0
倉木麻衣,,,147352.0,53.0
安室奈美恵,,,1566483.0,47.0
松たか子,,,110952.0,51.0
竹原ピストル,,,68.0,1.0
B’z,,,162.0,20.0
DEAN FUJIOKA,,,73335.0,42.0
MIGHTY WARRIORS,,,8429.0,20.0
NGT48,,,40869.0,29.0
SixTONES,,,189773.0,66.0
Snow Man,,,361469.0,65.0
TAKAHIRO,,,24394.0,37.0
オースティン・マホーン,,,,
モーニング娘。'17,,,,
中丸雄一,,,,
亀と山P,,,0.0,0.0
修二と彰,,,,
堺正章,,,13129.0,32.0
増田恵子,,,529.0,22.0
梅沢富美男,,,10.0,0.0
荻野目洋子,,,101243.0,44.0
BTS,,,131946.0,44.0
DAOKO,,,500929.0,57.0
LUNA SEA,,,272784.0,48.0
スチャダラパー,,,2049.0,17.0
小沢健二,,,105311.0,45.0
岡崎体育,,,115637.0,45.0
椎名林檎と松崎ナオ,,,,
高橋優,,,244.0,13.0
Aqours,,,134887.0,49.0
DA PUMP,,,372701.0,49.0
Suchmos,,,545587.0,59.0
あいみょん,,,125.0,4.0
サザンオールスターズ,,,,
刀剣男士,,,13542.0,52.0
北島三郎,,,37562.0,39.0
北島兄弟,,,581.0,8.0
宮本浩次,,,507.0,1.0
松任谷由実,,,1188092.0,57.0
米津玄師,,,153.0,0.0
純烈,,,128.0,7.0
B.B.クィーンズ,,,,
Kiroro,,,316011.0,49.0
キアラ・セトル,,,,
嶋大輔,,,2795.0,21.0
高橋洋子,,,134501.0,54.0
Boyz II Men,,,3527511.0,71.0
CHEMISTRY,,,398541.0,51.0
EXILE ATSUSHI,,,258174.0,47.0
KICK THE CAN CREW,,,155320.0,36.0
May J.,,,6183967.0,79.0
スガシカオ,,,,
スキマスイッチ,,,45.0,1.0
和楽器バンド,,,,
広瀬香美,,,169.0,4.0
武田真治,,,101.0,23.0
菅田将暉,,,,
青山テルマ,,,17.0,0.0
AI美空ひばり,,,,
Foorin,,,37681.0,36.0
King Gnu,,,3967069.0,72.0
LiSA,,,3460897.0,71.0
Official髭男dism,,,296.0,22.0
おしりたんてい,,,0.0,0.0
ジャニーズJr.,,,,
ダイアモンド☆ユカイ,,,,
ビートたけし,,,96.0,1.0
中元みずき,,,,
日向坂46,,,,
竹内まりや,,,,
DJ松永（Creepy Nuts）,,,,
MIYAVI,,,321585.0,55.0
Matt,,,708726.0,72.0
THE RAMPAGE from EXILE TRIBE,,,333804.0,55.0
ジェジュン,,,2721.0,31.0
三代目 J SOUL BROTHERS from EXILE TRIBE,,,6989.0,18.0
山崎育三郎,,,,
森山直太朗,,,31.0,3.0
花*花,,,267788.0,71.0
麻倉未稀,,,6716.0,33.0
A.B.C-Z,,,16593.0,41.0
BARBEE BOYS,,,158433.0,45.0
BLUE ENCOUNT,,,384212.0,54.0
KREVA,,,236445.0,49.0
MAN WITH A MISSION,,,1182232.0,63.0
THE RAMPAGE,,,333804.0,55.0
Toshl,,,19314.0,26.0
m-flo,,,385747.0,57.0
milet,,,953186.0,64.0
ゴスペラーズ,,,21.0,0.0
一青窈,,,27.0,1.0
三代目 J SOUL BROTHERS,,,6989.0,18.0
三浦祐太朗,,,,
倖田來未,,,431.0,6.0
山下智久,,,63960.0,33.0
平井大,,,8.0,0.0
平手友梨奈（欅坂46）,,,,
木村カエラ,,,,
東京スカパラダイスオーケストラ,,,186.0,32.0
石丸幹二,,,23.0,2.0
GReeeeN,,,2489540.0,64.0
Hey!Say!JUMP,,,211048.0,59.0
NiziU,,,1184527.0,61.0
YOASOBI,,,9305311.0,76.0
YOSHIKI,,,9079.0,39.0
さだまさし,,,180370.0,46.0
東京事変,,,,
櫻坂46,,,207968.0,63.0
玉置浩二,,,376364.0,53.0
瑛人,,,2555.0,34.0
鈴木雅之,,,308001.0,54.0
DISH//,,,2672.0,14.0
IZ*ONE,,,2451365.0,61.0
TOMORROW X TOGETHER,,,11669166.0,82.0
柴咲コウ,,,121.0,3.0
池田エライザ,,,707.0,27.0
清塚信也,,,,
Jr.EXILE,,,15709.0,27.0
Uru,,,1838.0,14.0
ビリー・アイリッシュ,,,287.0,3.0
マカロニえんぴつ,,,18.0,12.0
久保田利伸,,,206064.0,54.0
森七菜,,,57149.0,37.0
高嶋ちさ子,,,6946.0,32.0
Awesome City Club,,,278928.0,50.0
BiSH,,,2672.0,14.0
まふまふ,,,5388.0,23.0
ケツメイシ,,,1345863.0,61.0
布袋寅泰,,,,
東京都交響楽団,,,1016.0,31.0
松平健,,,8409.0,33.0
薬師丸ひろ子,,,148866.0,51.0
藤井風,,,,
BE:FIRST,,,454506.0,71.0
Creepy Nuts,,,2000318.0,74.0
EXIT,,,163125.0,42.0
J-FRIENDS,,,70442.0,56.0
なにわ男子,,,204995.0,61.0
中島美嘉,,,1.0,0.0
村方乃々佳,,,24888.0,35.0
櫻井翔,,,90387.0,39.0
浜崎あゆみ,,,,
BLOOM VASE,,,300285.0,48.0
Def Tech,,,308102.0,52.0
Jr.EXILE（GENERATIONS、THE RAMPAGE、FANTASTICS、BALLISTIK BOYZ）,,,,
ORANGE RANGE,,,586149.0,64.0
UVERworld,,,1192655.0,63.0
ひらめ,,,15569.0,17.0
優里,,,5576832.0,75.0
大塚愛,,,,
川崎鷹也,,,562052.0,60.0
森高千里,,,,
清水美依紗,,,,
緑黄色社会,,,,
Aimer,,,2673474.0,67.0
IVE,,,131946.0,44.0
JO1,,,267.0,7.0
LE SSERAFIM,,,7433047.0,82.0
Saucy Dog,,,1278641.0,67.0
THE LAST ROCKSTARS,,,33197.0,22.0
Vaundy,,,3361093.0,75.0
ウタ,,,3723.0,31.0
加山雄三,,,394.0,9.0
安全地帯,,,339998.0,56.0
工藤静香,,,155025.0,50.0
篠原涼子,,,31127.0,41.0
純烈（ダチョウ倶楽部・有吉弘行）,,,,
Ado,,,179.0,13.0
Da-iCE,,,766784.0,66.0
FANTASTICS from EXILE TRIBE,,,157100.0,53.0
KARA,,,31.0,2.0
O-Zone,,,161600.0,59.0
SEVENTEEN,,,13425039.0,82.0
STU48,,,37483.0,32.0
Stray Kids,,,19786358.0,87.0
ブラックビスケッツ,,,,
レミオロメン,,,569841.0,53.0
美炎-BIEN-,,,3495.0,10.0
10-FEET,,,408848.0,56.0
ELEVENPLAY,,,,
FANTASTICS,,,157100.0,53.0
Hoodie fam,,,,
Mirage Collective,,,13055.0,26.0
Mrs. GREEN APPLE,,,5898295.0,84.0
Tani Yuuki,,,708086.0,62.0
Travis Japan,,,135730.0,63.0
yama,,,31.0,2.0
後藤真希,,,11822.0,30.0
MISAMO,,,1031991.0,60.0
NewJeans,,,11034513.0,81.0
ano,,,179.0,13.0
すとぷり,,,331584.0,49.0
キタニタツヤ,,,,
クイーン+アダム・ランバート,,,,
ハマいく,,,9565.0,31.0
伊藤蘭,,,1686.0,10.0
大泉洋,,,857.0,11.0
大泉洋、大森元貴、LE SSERAFIM,,,,
寺尾聰,,,62.0,0.0
山寺宏一、櫻坂46、Stray Kids,,,,
新しい学校のリーダーズ,,,,
橋本環奈、浜辺美波,,,,
生田絵梨花,,,45.0,1.0
紅白有志の皆さん,,,,
藤井フミヤ,,,120219.0,46.0
IMP.,,,1326.0,31.0
Kep1er,,,1721052.0,56.0
Rockon Social Club,,,11495.0,29.0
SUPER BEAVER,,,594832.0,65.0
由薫,,,221.0,5.0
豊原江理佳,,,81.0,1.0
ちゃんみな,,,13.0,0.0
キョコロヒー,,,1638.0,8.0
モーニング娘。MステSPユニット（モーニング娘。’23＆OGメンバー）,,,,
B'z,,,162.0,20.0
Da-iCE、ME:I,,,,
GLAY,,,666769.0,59.0
HY,,,169967.0,57.0
ILLIT,,,3076749.0,78.0
ME:I,,,146380.0,56.0
Number_i,,,322994.0,70.0
Omoinotake,,,271700.0,61.0
THE ALFEE,,,132475.0,49.0
tuki.,,,1326.0,31.0
こっちのけんと,,,45.0,1.0
イルカ,,,41864.0,40.0
南こうせつ,,,43143.0,33.0
大森元貴、SAKURA,,,,
新浜レオン,,,3467.0,28.0
有吉弘行、橋本環奈、伊藤沙莉,,,,
有吉弘行、橋本環奈、伊藤沙莉、 花田ゆういちろう、ながたまや、秋元杏月、 佐久本和夢、じゃじゃまる、ぴっころ、ぽろり、 スプー、みもも、やころ、ルチータ,,,,
椎名林檎ともも,,,,
竹下景子・武田鉄矢・田中健・松崎しげる,,,,
紅白出演者有志,,,,
Aぇ! group,,,38339.0,36.0
m-flo loves Maya,,,,
m-flo loves 櫻井翔,,,,
timelesz,,,176269.0,59.0
屋比久知奈,,,203.0,0.0
木村昴,,,2750.0,34.0
藤井隆,,,23132.0,39.0
Awich,,,339371.0,63.0
BOYNEXTDOOR,,,1623266.0,72.0
B小町,,,83358.0,51.0
CANDY TUNE,,,65712.0,58.0
CUTIE STREET,,,151472.0,62.0
FRUITS ZIPPER,,,208676.0,64.0
INI,,,855.0,24.0
L'Arc～en～Ciel,,,2.0,0.0
RIIZE,,,1323900.0,69.0
SUPER EIGHT,,,149244.0,54.0
SWEET STEADY,,,11534.0,44.0
XG,,,169967.0,57.0
aespa,,,9111848.0,81.0
三代目 J SOUL BROTERS,,,,
屋比久知奈＆尾上松也,,,,
田島貴男（Original Love）,,,120.0,29.0
